Index,NCTId,Condition,OfficialTitle,BriefTitle,Acronym,StudyType,InterventionType,InterventionName,InterventionOtherName,InterventionDescription,Phase,StudyFirstSubmitDate,LastUpdateSubmitDate,CompletionDate,OverallStatus,BriefSummary,IsFDARegulatedDrug,IsFDARegulatedDevice,ConditionMeshTerm,PrimaryOutcomeDescription,SecondaryOutcomeDescription,EnrollmentCount,EnrollmentType,BaselineCategoryTitle,BaselinePopulationDescription,BaselineTypeUnitsAnalyzed,OtherOutcomeDescription,EligibilityCriteria,StudyPopulation,HealthyVolunteers,ReferencePMID,LocationCity,LocationCountry,BaselineMeasureTitle,BaselineMeasureUnitOfMeasure,BaselineMeasurementValue
1,NCT03287037,"Depressive Disorder, Major|Depression, Bipolar|Electricity; Effects","To Investigate the Effect of Transcranial Direct Current Stimulation (tDCS) on Depressive Symptoms, Neurocognitive Function and Heart Rate Variability in Unipolar Depression and Bipolar Depression","The Effects of tDCS on Depressive Symptoms,Neurocognitive Function and HRV in Unipolar Depression and Bipolar Depression",,Interventional,Device,tDCS over DLPFC,,"We applied tDCS over dorsolateral prefrontal cortex (DLPFC) for these depressed patients. Direct current (DC) generated by a DC stimulator (Eldith DC stimulator: www. neuroconn.de/dc-stimulator_plus_en/) was bilaterally delivered through a pair of saline-soaked surface sponge electrodes (35 cm2). The anodal electrode was placed over the left dorsolateral prefrontal cortex (F3, International EEG System 10-20) and cathode electrode over F4. Stimulation was applied at an intensity of 2 mA for 20 min, twice-daily on 5 consecutive weekdays. The twice daily sessions were separated by at least 3 hours. All patients were maintained on their treatment throughout the study period.",Not Applicable,"September 14, 2017","September 27, 2019","September 6, 2019",Completed,"The study aimed to investigate whether transcranial direct current stimulation could improve depressive symptoms, neurocognitive function and modulate heart rate variability in unipolar and bipolar depression.",No,No,"Depression|Depressive Disorder|Bipolar Disorder|Depressive Disorder, Major",Depression severity,Hypomania/mania severity|Anxiety severity.|Index of autonomic functioning.|Performance of prefrontal-mediated task.,82,Actual,,,,,"Inclusion Criteria:||Patients who met DSM-IV-TR criteria for major depressive disorder and bipolar depression and had moderate to severe depression severity (HAM-D score more than 17) were included in the study.||Exclusion Criteria:||pregnancy or breastfeeding.|having epilepsy, severe physical illness, any current psychiatric comorbidity or history of substance dependence.|having contraindications for transcranial electrical/magnetic stimulation.|having intracranial metal foreign bodies.|having a history of intracranial neoplasms or surgery, or a history of severe head injuries or cerebrovascular diseases.",,No,33221715,Taipei,Taiwan,,,
2,NCT02152878,"Depression, Bipolar",Transcranial Direct Current Stimulation for the Treatment of Bipolar Depression,Transcranial Direct Current Stimulation for the Treatment of Bipolar Depression,TDCS-BD,Interventional,Device|Device,Sham stimulation|Active stimulation,TDCS,"For sham tDCS, the device will be turned off after 30 seconds of stimulation.|For active tDCS, we will place the anode and the cathode over the left and right dorsolateral prefrontal cortex areas, respectively (corresponding to F3 and F4 according to the EEG 10-20 system). We will use 5x5 cm electrodes and a 2mA current for 30 minutes per day. This montage is known as ""bifrontal"" setup and has been previously used in major depression trials",Phase 2|Phase 3,"May 29, 2014","November 20, 2016",November 2016,Completed,"Non-invasive brain stimulation therapies have been increasingly investigated in recent years as a treatment for neuropsychiatric disorders, particularly mood disorders. They are particularly appealing since many patients are either refractory or present side effects to standard pharmacological regimens. TDCS (transcranial direct current stimulation). a novel non- pharmacological brain stimulation technique, might help in overcoming some of these issues, since it has low cost, high portability and it is relatively easy to use. TDCS consists in applying a weak, direct current through two electrodes placed over the scalp; the anode and the cathode increasing and decreasing cortical excitability during and beyond the period of stimulation. It is also a safe technique with only mild adverse effects described. Previous studies, some of them from our group, have described that tDCS is an effective technique for major depression. However, the role of tDCS as a treatment for bipolar depression (BD) has been insufficiently investigated. Therefore, our aim is to address the antidepressant effects of tDCS in BD in a randomized, sham- controlled trial in a refractory sample.",,,Depression|Depressive Disorder|Bipolar Disorder,Continuous measure (score change),Continuous measure (score changes),60,Actual,,,,,"Inclusion Criteria:||bipolar depressed (type I, II or not otherwise specified) participants with symptoms in spite of an adequate treatment course with mood stabilizers.|the depressive episode has to be of at least moderate intensity (baseline HDRS>=16)|read and understand Portuguese||Exclusion Criteria:||other neuropsychiatric conditions, such as schizophrenia, substance dependence, dementias, traumatic brain injury, epilepsy and so forth (although participants with anxiety disorders can be included whether the primary diagnosis is BDD);|mixed states, defined as simultaneously presenting (hypo)manic symptoms with a Young Manic Rating Scale (YMRS) > 8;|pregnancy;|specific contra-indications to tDCS;|severe/life-threatening clinical conditions. Participants will have to be drug-free or at stable drug regimen for at least 6 weeks prior to trial onset. Benzodiazepine drugs will be allowed, although only at low doses (less than 20mg/day of diazepam or equivalent).",,No,33022345|32221654|29282470,São Paulo,Brazil,,,
3,NCT05188248,Depression,A Pilot Study of the Immediate Effects of DLPFC tDCS on Attention Bias in Depression,A Pilot Study of the Immediate Effects of DLPFC tDCS on Attention Bias in Depression,,Interventional,Device,Transcranial direct current stimulation (tDCS),,"Participants will complete a single 30 minutes tDCS session targeting the left DLPFC while sitting in a comfortable position. At the end of the tDCS session possible side effects experienced during the tDCS session will be recorded along with their intensity (rated using the visual analogue scale, 0-10) and duration. The session can be aborted at any time for any reason if the participant wishes.The MINDD STIM tDCS system is composed of a management component, treatment module, single-use sponge patches and supporting patches, a headband to hold in position the sponge patches, and 2 cables. A trained study technician will program the stimulation device through the management component setting to the following stimulation parameters:Stimulation intensity: 2.0 mA or 1.5 mA; Stimulation duration: 30 minutes;Ramp up duration: 30 seconds (beginning of stimulation);Ramp down duration: 30 seconds (end of stimulation)",Not Applicable,"December 17, 2021","January 10, 2022","December 1, 2022",Recruiting,"Depression and other psychiatric conditions are marked by exaggerated, preferential processing (or attention bias) of negative information relative to neutral or positive information. This depression-related attention bias can be measured using the Dot Probe task and Visual Search, that allow assessment of the degree to which one shows bias toward negative information in the presence of neutral or positive information. A clinically effective treatment for depression is noninvasive brain stimulation with transcranial direct current stimulation (tDCS), targeting the dorsolateral prefrontal cortex (DLPFC), delivered in repeated sessions across a period of time. The study will test the effect of a single session of DLPFC tDCS on attention bias in patients with mild to moderate depression.",No,Yes,Depression|Depressive Disorder,"Measured by the Beck Depression Inventory (BDI-II) which is a brief, criteria-referenced assessment for measuring depression severity. The BDI-II consists of 21 items to assess the intensity of depression. Each item is a list of four statements arranged in increasing severity about a particular symptom of depression.|Measured by the Beck Anxiety Inventory (BAI) which is a brief, criteria-referenced assessment for measuring anxiety severity and level. Participants respond to 21 items rated on a scale from 0 to 3. Each item is descriptive of subjective, somatic, or panic-related symptoms of anxiety. BAI has been found to discriminate well between anxious and non-anxious diagnostic groups in a variety of clinical populations.|Measured by the Hamilton Depression Rating Scale (HAM-D) which is a 17-item measure that was designed to assess frequency and intensity of depressive symptoms in patients with Major Depressive Disorder (MDD). This measure contains somatic and suicidal ideation items and has demonstrated reliability, validity, and efficiency in adult populations|The Symptoms of Major Depressive Disorder Scale (SMDDS) is a brief self reported measure for adults with MDD and measures specific symptom dimensions. The qualitative measure has good psychometric properties including high reliability and validity.|The Positive and Negative Affect Schedule (PANAS-SF) will be administered before and after the Transcranial direct current stimulation (tDCS) session. This is a self-report questionnaire that consists of two 10-item scales (20 items total) to measure both positive and negative affect.|Will be assessed by using the Analog Mood Scale (AMS). This is a brief measure of positive and negative mood consisting of three questions (i.e., ""How anxious are you?"", ""How sad are you?"", and ""How happy are you?""). Participants were told to indicate their present mood by identifying a location on a horizontal line divided into 30 equally distanced segments labeled 1 (not at all) to 30 (very much).|The dot-probe task will be used to assess depression-related attention bias before and after tDCS administration.To complete the Dot-Probe task, participants will be shown two emotional images (e.g., sad and neutral pair or happy and neutral pair) simultaneously followed by a target in the location of one of the emotional images. Response latencies to targets replacing either the negative/positive or neutral images will be measured before and after training which will be the primary study outcome.|The Visual Search task will be administered to further assess attention bias, particularly examining the interference and facilitation effects in attention using emotional stimuli. The task uses emotional faces or words as stimuli, where the participant is instructed to search for the face that does not fit into the search set with respect to gender, where the target and distractors are expressing different or same emotions. This study will use this task as an outcome measure of Attention Bias alongside the Dot Probe task. For this task, mean response time (the time between display onset and button press) to the target stimulus for each stimulus type is measured as the main outcome variable.",,20,Anticipated,,,,,"Inclusion Criteria:||Aged 18-45|Female|Mild to moderate depression (determined by BDI-II scores of 14-19 and 20-28, respectively)|If taking antidepressants, medication must be stable ≥ 30 days prior to screening||Exclusion Criteria:||Wide-Range Achievement Test-Fourth Edition (WRAT-4) Reading Subtest standard score <85 (to ensure understanding of test procedures)|Insufficient visual and motor ability to operate the intervention and assessments as judged by treating neurologist or study staff|Primary psychiatric disorder other than depression (based on MINI)|Primary neurologic condition that would prevent ability to participate (as determined by study clinician).|History of head trauma in the last year|Medical device implants in the head or neck|History or current uncontrolled seizure disorder|Current substance abuse disorder|. Pregnant or lactating women|Skin disorder/sensitive skin near stimulation locations",,No,,New York,United States,,,
4,NCT00667680,Therapy Resistant Major Depression,Transcranial Direct Current Stimulation (tDCS) in Treatment-resistant Depression - Effect on Clinical and Neurophysiological Parameters,Transcranial Direct Current Stimulation (tDCS) in Treatment-resistant Depression,,Interventional,Device,Transcranial direct current stimulation (tDCS) - Eldith DC-Stimulator,"Eldith DC - Stimulator (neuroConn GmbH, Ilmenau, Germany)",real or sham tDCS for 20 minutes at 2mA intensity over the left DLPFC (F3 according to the 10-20 system),Phase 2,"April 24, 2008","November 13, 2009",November 2008,Completed,"tDCS applies a small amount of direct electric current (DC) to the brain by means of two electrodes: the one is an active electrode, localized on the effective site, and the other is a reference electrode, localized on some ""silent"" part of the body. Anodal transcranial direct current stimulation (tDCS) of the left dorsolateral prefrontal cortex (DLPFC) has been associated with working memory enhancement and improvement of mood. This study will investigate the possible antidepressant effects of tDCS in patients with therapy resistant major depressive episodes.",,,"Depression|Depressive Disorder|Depressive Disorder, Major|Depressive Disorder, Treatment-Resistant",,,20,Anticipated,,,,,"Inclusion Criteria:||Age 18-75 years|At least moderate major depressive episode (DSM IV criteria).|Stable total pre-treatment Hamilton Rating Scale for Depression score ≥18|Therapy-resistance during current depressive episode (according to ATHF).|The patient must be in the condition to understand the patient-information, as well as the necessary examinations. He/she must be able to give a written consent.|Stable antidepressant medication, that is retained during the study- duration, from at least three weeks before the begin of the study.||Exclusion Criteria:||Existence of a care/legal incapacity|Existing pregnancy|Severe psychiatric illness (with exception of affective disorder)|Acute suicidality|Drug-, medication- or alcohol dependence|Dementia according to DSM IV / ICD 10-criterions|Severe TBI in the anamnesis|Indications of structural damage of the basal ganglia or the brain stem|Severe neurological disorders (e.g. M. Parkinson, epilepsy, discus-prolapse, dementia, systemic neurological illnesses, normal pressure hydrocephalus, cerebrovascular diseases, elevated intracranial pressure, in the last 6 months, polyneuropathies).|Severe other medical conditions, like manifest arterial hypertonia, severe heart disease, pacemakers, respiratory failure, malignant illnesses all type, also in the history, active infectious diseases, skeletal disorders (like M. Paget, osteoporosis with spontaneous fractures, fresh fractures)|Other circumstances, that speaks against a participation of the patient pinion of MD at this study.",,No,,Munich,Germany,,,
5,NCT01263275,Major Depression,Open Pilot Trial of Transcranial Direct Current Stimulation (tDCS) for Depression.,Trial of Transcranial Direct Current Stimulation (tDCS) for Depression,,Interventional,Device,tDCS (Eldith DC-Stimulator (CE certified)),Eldith DC-Stimulator (CE certified),Each tDCS session lasting continuously for 20 minutes at 2 mA,Phase 2,"December 7, 2010","September 15, 2015",July 2015,Completed,"Among antidepressant treatments, ECT stands as the most effective in treating acute depression. However, patient concerns with the cognitive side effects of ECT have encouraged the development of new and more focal forms of brain stimulation such as transcranial Direct Current Stimulation (tDCS). However, not all patients may respond to this treatment in the way that it is currently administered and this has raised interest in finding alternative, possibly more optimal ways of administering tDCS. This study will investigate whether tDCS stimulation using an alternative electrode montage has antidepressant effects.",,,Depression|Depressive Disorder,"Baseline (pre-treatment), post 8, post 15 and post 20 tDCS sessions, and follow-up 1 week, 1 month, 3 months and 6 months post treatment",,3,Actual,,,,,"Inclusion Criteria:||Subject meets criteria for a DSM-IV Major Depressive Episode.|Total MADRS score ≥20.|Subject has not responded to tDCS given with a standard montage OR subject is unable to receive tDCS with standard montage - for example, due to skin rash etc at site of electrode placement for standard montage.||Exclusion Criteria:||Diagnosis (as defined by DSM-IV) of: any psychotic disorder (lifetime); eating disorder (current or within the past year); obsessive compulsive disorder (lifetime); post-traumatic stress disorder (current or within the past year); mental retardation.|History of drug or alcohol abuse or dependence (as per DSM-IV criteria) within the last 3 months (except nicotine and caffeine).|Inadequate response to ECT in the current episode of depression.|Subject is on regular benzodiazepine medication which it is not clinically appropriate to discontinue.|Subject requires a rapid clinical response due to inanition, psychosis or high suicide risk.|Neurological disorder or insult, e.g., recent stroke (CVA), which places subject at risk of seizure or neuronal damage with tDCS.|Subject has metal in the cranium, skull defects, or skin lesions on scalp (cuts, abrasions, rash) at proposed electrode sites.|Female subject who is pregnant.|Participants who are not fluent in English will not be included in the trial for safety reasons: a) It is usually not possible to have an interpreter reliably available every weekday for up to 4 weeks and it is not safe to give tDCS to a subject who cannot tell us immediately of any side effects; b) As this is a novel treatment, the study involves detailed neuropsychological testing for safety reasons. This testing cannot be effectively or validly completed by someone who is not fluent in English. Note that translation of the proposed tests into English has not been validated and that we cannot be confident that neuropsychological impairment would be detected using this method.",,No,,"Randwick, Sydney",Australia,,,
6,NCT05539131,Depression,Demonstration Study of the Effect of the Transcranial Direct Current Stimulation (tDCS) for the Patients With Depression in Clinical Fields,Demonstration Study of the Effect of the Transcranial Direct Current Stimulation (tDCS) on Depressed Patients,,Interventional,Device,transcranial direct current stimulation (tDCS),,Transcranial direct current stimulation (tDCS) suppresses excitability and regulates excitability of neurons by injecting a small amount of current through electrodes attached to the scalp.,Not Applicable,"September 8, 2022","October 4, 2022","December 31, 2024",Recruiting,Purpose of research: It aims to demonstrate the effectiveness of transcranial direct current stimulation (tDCS) in the clinical domain for patients with depression and to optimize home-based e-medication technology.,No,No,Depression,"It is a self-report depression scale of 21 questions, which the score range from 0 to 63, and it is required to select a sentence that is appropriate for you among 4 descriptions for each question, and the total score is 0 to 63 points for each question. 0~13: Minimal 14~19: Mild depression 20~28: Moderate depression 29~63: Severe depression|It evaluates 10 items such as apparent sadness, voluntarily reporting sadness, internal tension, sleep loss, loss of appetite, laziness, loss of feeling, pessimistic thinking, and suicide accident, and the total score is 0 to 60 points per question.||It evaluates 10 items such as apparent sadness, voluntarily reporting sadness, internal tension, sleep loss, loss of appetite, laziness, loss of feeling, pessimistic thinking, and suicide accident, and the total score is 0 to 60 points per question.||It evaluates 10 items such as apparent sadness, voluntarily reporting sadness, internal tension, sleep loss, loss of appetite, laziness, loss of feeling, pessimistic thinking, and suicide accident, and the total score is 0 to 60 points per question.||The total score ranges from 0 to 60 points. 0-6 indicate an absence of symptoms 7-19 Mild depression 20-34 Moderate depression 35-60 Severe depression","Epidemiologic Studies Depression Scale Revised test was revised to reflect the major depressive illustration diagnostic criteria for the evaluation of depression. Items reflecting anaesthesia, mental exercise delay/anxiety, and suicide accidents have been added, and are measured as 0 to 4 points per question on a self-report 20 question scale. The score ranges from 0~80 points. . A score equal to or above 16 indicates a person at risk for clinical depression.|The scale developed by Hamilton consists of 14 questions, and is evaluated by the clinician on a 5-point Likert scale of a semi-structured interview tool. The score ranges from 0~56 points. Each item is scored on a scale of 0 (not present) to 4 (severe), with a total score range of 0-56, where <17 indi- cates mild severity, 18-24 mild to moderate severity and 25-30 moderate to severe.|It was developed for evaluation of symptom severity, treatment response, and treatment effectiveness in patients with psychiatric disorders (Guy W, 1976) and scored 0-7 points based on the overall impression of the subject's symptoms and treatment response compared to typical patients with the disease.||It was developed for evaluation of symptom severity, treatment response, and treatment effectiveness in patients with psychiatric disorders (Guy W, 1976) and scored 0-7 points based on the overall impression of the subject's symptoms and treatment response compared to typical patients with the disease. The score ranges from 0~7 points. 1: normal, not at all ill 2: borderline mentally ill 3: mildly ill 4: moderately ill 5: markedly ill 6: severely ill 7: extremely ill|t is possible to measure high-dimensional cognitive functions such as perceptual organization ability and visual movement coordination, and examine attentional concentration, visual short-term memory, and mental movement speed. A post-marketing survey (PMS) on a new mechanism of anti-depressant (vortioxetine) is used to measure cognitive function before and after the use of the antidepressant in depressed patients. The score is the number of correct number-symbol matches achieved in 90 s. The score ranges from 0~93 points.",198,Anticipated,,,,,"Inclusion Criteria:||Male and Female aged 19 to 65 with mild and moderate Major depressive disorder (MDD)||Exclusion Criteria:||Those diagnosed with Post-traumatic stress disorder (PTSD), Obsessive compulsive disorder (OCD), bipolar or psychotic major depressive disorder, high suicide risk, Electroencephalography (EEG) and DC stimulation electrode attachment problems (such as scalp deformity, inflammatory response or other dermatological problems), Transcranial direct current stimulation (tDCS) medical device taboos (such as head metal plate insertion), clinical trials that have been inadequate for clinical trials",,No,35078951|25983531|34915885,Chuncheon|Goyang|Goyang|Incheon|Yongin,"Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of",,,
7,NCT02296437,Depression,Pilot Study of Transcranial Direct Current Stimulation (tDCS) and Cognitive Task in Depression.,Transcranial Direct Current Stimulation (tDCS) and Cognitive Task in Depression,tDCS + CT,Interventional,Other,Transcranial direct current stimulation combined with cognitive training,,,Early Phase 1,"November 18, 2014","October 15, 2017",,Unknown status,"Among antidepressant treatments, electroconvulsive therapy (ECT) remains the most effective. However, patient concerns with cognitive side effects have encouraged trials of new, non-convulsive forms of mild brain stimulation such as transcranial Direct Current Stimulation (tDCS). Our past and present studies of tDCS suggest that it has antidepressant effects and is safe, painless and well tolerated. However, not all patients may have an adequate response, raising the need to find ways of optimising efficacy. This clinical pilot study will examine the feasibility and safety of combining tDCS with a cognitive training task which engages the same brain region targeted by tDCS for treatment of depression.",,,Depression|Depressive Disorder,,,40,Anticipated,,,,,"Inclusion Criteria:||Participants are aged 18-65 years.|Participant meets criteria for a DSM-V Major Depressive episode. Criteria are as follows: Five or more symptoms present during the same 2-week period, including either 1 or 2: 1) depressed mood, 2) loss of interest or pleasure, 3) significant weight loss or gain, 4) insomnia or hypersomnia, 5) psychomotor agitation or retardation, 6) fatigue or loss of energy, 7) feelings of worthlessness or excessive or inappropriate guilt, 8) diminished ability to think concentrate or make decisions, and 9) recurrent thoughts of death, recurrent suicidal ideation, suicide attempt or plan.|MADRS score of 20 or more.|Right handed|A history of non-response to ≥ 2 adequate trials of antidepressant medication treatment.||Exclusion Criteria:||DSM-V psychotic disorder.|Drug or alcohol abuse or dependence (preceding 6 months).|Inadequate response to ECT (current episode of depression).|Regular benzodiazepine medication|Rapid clinical response required, e.g., due to high suicide risk.|Clinically defined neurological disorder or insult.|Metal in the cranium, skull defects, or skin lesions on scalp (cuts, abrasions, rash) at proposed electrode sites.|Pregnancy.",,No,,Sydney,Australia,,,
8,NCT00481988,Depression,"Randomized, Double Blind Crossover Study of the Treatment of Major Depressive Episode With Transcranial Direct Current Stimulation (tDCS)",Treating Depression With Transcranial Direct Current Stimulation (tDCS),,Interventional,Device|Device|Device|Device,transcranial direct current stimulation|transcranial direct current stimulation|transcranial direct current stimulation|iomed phoresor transcranial direct current stimulation,ioMed Phoresor|Phoresor II Auto model PM850|Phoresor II Auto model PM850|phoresor II auto model PM850,"Two damp sponges, one placed on the left side of the forehead, the other on the left arm. 0.1mA of current is passed for 20 minutes.|transcranial direct current stimulation delivers one milliamp of direct current, supplied by a constant current generator, the the left dorsolateral prefrontal cortex through a scalp electrode. The treatment is given for 20 minutes a day.|one milliamp of direct current applied to the left dorsolateral prefrontal cortex through a scalp electrode|for the sham group the current is turned off after 10 seconds",Phase 1|Phase 2,"June 1, 2007","May 17, 2013",January 2011,Completed,The purpose of this study is to see if transcranial direct current stimulation may improve the symptoms of depression.,,,Depression|Depressive Disorder,"The Hamilton Rating Scale for Depression (HRS,24 question version), is a standardized assessment tool for measuring severity of depression where 0 is the minimum score (no depressive symptoms) and 40 is the maximum (severe depression).I am reporting the number of participants with stable remission which is defined as an HDRS < 10 for 2 weeks.",patient self report of depressive symptoms,20,Actual,<=18 years|Between 18 and 65 years|>=65 years|Female|Male,One patient dropped out of study after 5 treatments due to One patient dropped out of study after 5 treatments to pursue other treatment options One patient dropped by investigator when patient had HDRS of 8 at baseline ratings One patient dropped out of study after 1 treatment to pursue other treatment options,,,"Inclusion Criteria:||Has a diagnosis of a major depressive episode or bipolar disorder and is currently in a major depressive episode (without psychotic features)|Total pretreatment HDRS (Hamilton Depression Rating Scale)-24 score >= 18 (The Hamilton Depression Rating Scale is an interviewer scored tool for assessing the severity of depressive symtoms. The scale ranges from 0 (no symptoms, absence of depression) to 64||Category Ham-24 Score Normal, not depressed 9 or less Mildly depressed 10 to 19 Moderately depressed 20 to 29 Markedly/severely depressed 30 or more)||Capable and willing to provide informed consent||Exclusion Criteria:||History of depression previously untreated with medication, bipolar disorder, schizophrenia, schizoaffective disorder (non mood disorder), psychosis, depression secondary to a medical condition, mental retardation, substance dependence or abuse within the past year (except nicotine), psychotic features in this or previous episodes, amnestic disorder, dementia or mms<24, DELIRIUM|Significant current history of autoimmune, endocrine, viral or vascular disorder affecting the brain|History of unstable cardiac disease, uncontrolled hypertension, or sleep apnea|Changes in psychotropic medications within two weeks prior to study entry or patient is unable to maintain stable doses throughout the study trial|Subject has an active suicidal plan and/or attempted suicide in the past twelve months|Patients with a CGI of 6 or greater|Subject is pregnant or has a positive pregnancy serum test",,No,14211695|15753425,New York City,United States,"Age, Categorical|Age Continuous|Sex: Female, Male|Region of Enrollment",Participants|years|Participants|participants,0|0|0|11|8|19|0|0|0|45|45|45|4|3|7|7|5|12|11|8|19
9,NCT01428804,Resistant Major Depression,Pilot Study of Feasibility of the Effect of Treatment With tDCS in Patients Suffering From Resistant Depression,Study of Transcranial Direct Current Stimulation (tDCS) as add-on Treatment for Resistant Major Depression,DEPRESCO,Interventional,Device,transcranial Direct Current Stimulation (tDCS),"Eldith DC - Stimulator (neuroConn GmbH, Ilmenau, Germany)","Device: Eldith DC-Stimulator real or sham tDCS for 20 minutes at 2mA intensity over the left DLPFC (F3 according to the 10-20 system) Other Name: Eldith DC - Stimulator (neuroConn GmbH, Ilmenau, Germany)",Phase 2,"September 2, 2011","August 22, 2016",July 2013,Completed,The purpose of the study is to investigate the effect of tDCS applied at the anodic left DLPFC of patients with resistant depression compared to patients treated with conventional therapy. The tDCS is used in add-on drug treatment with antidepressants of reference in resistant depression.,,,"Depression|Depressive Disorder|Depressive Disorder, Major",The changes in MADRS will constitute the major research outcome measure used to assess response to tDCS,,24,Actual,,,,,"Inclusion Criteria:||subject whose MDD are single or recurrent without psychotic features according to DSM-IV-TR|subject with a diagnosis of resistant major depression (1 or 2 failed antidepressant treatments for the current depressive episode)|MADRS score ≥ 25|subjects with drug treatment by escitalopram (Seroplex®) for at least one month|right-handed patients|without severe progressive somatic pathology (especially tumor diseases, degenerative diseases)|without severe cognitive impairment making psychometric evaluation impossible|excepted antidepressant treatment, psychotropic following are tolerated during the course of the study : benzodiazepine anxiolytics (up to 20mg/day diazepam equivalent) ; hydroxyzine (up to 50 mg/day) ; cyamemazine (up to 50 mg/day) ; hypnotics (imidazopyridine up to 7.5 mg/day).||Exclusion Criteria:||subject treated with antipsychotics or mood stabilizers|subjects resistant to escitalopram (Seroplex®)",,No,25454337,Besancon,France,,,
10,NCT03518749,Depression Unipolar,Effects of tDCS-enhanced Cognitive Control Training on Depression,Effects of tDCS-enhanced Cognitive Control Training on Depression,,Interventional,Other|Other|Behavioral,1mA tDCS|2mA tDCS|Cognitive control training,,transcranial direct current stimulation with the intensity of 1mA|transcranial direct current stimulation with the intensity of 2mA|cognitive control training with the PASAT,Not Applicable,"April 13, 2018","February 15, 2019","December 31, 2019",Unknown status,"Deficient cognitive control (CC) is one of the central characteristics of major depression (MD). Hypoactivation of the dorsolateral prefrontal cortex (dlPFC) has been linked with this deficit. Antidepressants and cognitive-behavioral therapies modify CC most-likely as a common mechanism of treatment. Transcranial direct current stimulation (tDCS) is a safe, simple and effective non-invasive method to modulate the cortical excitability. It has been shown, that the activity of the dlPFC can be modulated by transcranial direct current stimulation (tDCS) with polarity-dependent learning-phase specific effects on performance that, when combined with training, can outlast the stimulation.||The goal of this randomized, sham-controlled, rater blind clinical trial is to investigate the effect of a tDCS-enhanced CC Training (CCT) on depressive symptom severity and compare the stimulation intensities 1mA, 2mA and sham tDCS. Overall, the study will include 57 participants (n = 19 per group). Each participant will complete 12 training sessions with online sham/ anodal tDCS.||As a training task we will use an adaptive version of the paced auditory serial addition task (PASAT). In the PASAT, digits are presented auditive and participants have to add the current digit to the digit they heard before. In the adaptive version the interstimulus-intervals decrease (increase) when four consecutive trials are correct (incorrect). The PASAT is known to elicit frustration. Participants have to exert cognitive control over these emotions to complete the task successfully.||Before, during and after the training symptom severity will be assessed. Baseline and post-training performance in the PASAT and in a transfer task (delayed working memory task, DWM) will be measured.||To further explore variables that influence the effect of tDCS on depressive symptom severity we will measure brain activity (EEG, NIRS), heart rate, global functioning (GAF), emotion regulation strategies, self-esteem, mood ratings and subjective performance ratings before and after the training and collect genetic factors.||Sustainability of the training effects will be measured at a follow-up visit (3 months later).",No,No,Depression|Depressive Disorder,"Change in Depressive Symptom severity will be measured with the Montgomery-Åsberg Depression Rating Scale (MADRS) from Baseline session to the last stimulation session, scale range from 0 to 60 points, higher scores indicate a more severe depression","Beck Depression Inventory|Performance in the PASAT. Number of correct trials.|Reaction time in the transfer task, a delayed working memory task (DWM)|Number of correct trials in the transfer task, a delayed working memory task (DWM)|Global Assessment of Functioning|Mood changes (PANAS delta) through the PASAT performance: the positive and negative affective schedule (PANAS) will be conducted immediately before and after the PASAT performance. The change in mood ratings (PANAS delta = PANAS pre PASAT - PANAS post PASAT) will be the outcome measure.|Participants will be asked to rate their performance and overall cognitive abilities on a likert scale.|EEG will be conducted to measure resting state oscillations and event related potentials stimulus locked to the presented feedback in the PASAT|Functional Near Infrared Spectroscopy will be used to measure frontal brain activity: resting state and during task performance.|Depressive Symptom severity will be measured with the Montgomery-Åsberg Depression Rating Scale|The investigators will analyze if frontal brain activity measured with NIRS during resting state and task performance can contribute to the prediction of the effectiveness of the tDCS training.|The investigators will analyze if resting state oscillations and event related potentials stimulus locked to the presented feedback in the PASAT can contribute to the prediction of the effectiveness of the tDCS training.|The investigators will analyze if genetic factors involved in neuroplasticity (5-HTTLPR, BDNF, COMT) can contribute to the prediction of the effectiveness of the tDCS training.",57,Anticipated,,,,,"Inclusion Criteria:||current Major Depressive Episode|right handedness||Exclusion Criteria:||history of seizures|Intracranial implants (e.g. aneurysm clips, shunts, stimulators, cochlear implants, or electrodes) or any other metal object within or near the head, excluding the mouth, that cannot be safely removed|pregnancy|use of mood stabilizers|diagnosed bipolar disorder|current substance abuse (nicotine excluded)|current substance addiction (nicotine excluded)|diagnosed psychotic diseases|diagnosed anorexia nervosa|diagnosed personality disorders: cluster A, antisocial personality disorder,|borderline personality disorder",,No,34812928,Tubingen,Germany,,,
