Index,NCTId,Condition,OfficialTitle,BriefTitle,Acronym,StudyType,InterventionType,InterventionName,InterventionOtherName,InterventionDescription,Phase,StudyFirstSubmitDate,LastUpdateSubmitDate,CompletionDate,OverallStatus,BriefSummary,IsFDARegulatedDrug_x,IsFDARegulatedDevice_x,index,IsFDARegulatedDevice_y,IsUnapprovedDevice,PrimaryOutcomeDescription,PrimaryOutcomeTimeFrame,SecondaryOutcomeDescription,SecondaryOutcomeTimeFrame,OtherOutcomeDescription,OtherOutcomeTimeFrame,EligibilityCriteria,StudyPopulation,HealthyVolunteers,ReferencePMID,LocationCity,LocationState,LocationFacility
1,NCT04020198,Parkinson Disease|Multiple System Atrophy|Rapid Eye Movement Sleep Behavior Disorder|Normal Pressure Hydrocephalus,A Pilot Biomarker Study Assessing Alpha-synuclein Aggregates Across Biofluid Reservoirs in Patients With Synucleinopathies,A Pilot Biomarker Study Assessing Alpha-synuclein Aggregates Across Biofluid Reservoirs in Patients With Synucleinopathies,,Observational,Other,Biomarker assay,,"Biomarker assay will be used to quantify levels of misfolded alpha-synuclein aggregates in biofluid samples from patients with Parkinson's disease, multiple system atrophy, rapid eye movement sleep behavior disorder, normal pressure hydrocephalus and controls.",,"July 10, 2019","May 3, 2022","June 1, 2023","Active, not recruiting","This will be an observational study looking at clinical and biomarker characteristics in patients with Parkinson's Disease (PD), Multiple System Atrophy (MSA), Rapid Eye Movement Sleep Behavior Disorder (RBD), Normal Pressure Hydrocephalus and matched controls. Saliva, plasma, serum, urine, and cerebrospinal fluid (CSF) samples will be collected from participants.",No,No,1,No,,"Levels of misfolded alpha-synuclein in CSF, serum, plasma, saliva, and urine will be quantified using the protein misfolding cyclic amplification (PMCA) technology",3 weeks,"Levels of misfolded alpha-synuclein aggregates will be quantified using the PMCA technology. PD and MSA disease severity will be assessed using the Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS) and the Unified Multiple System Atrophy Rating Scale (UMSARS), respectively. All groups will receive the MDS-UPDRS III and the RBD Questionnaire.|Levels of misfolded alpha-synuclein in the different biofluid reservoirs will be quantified using the PMCA technology",3 weeks|3 weeks,,,"For PD subjects:||Inclusion Criteria:||Age 50-75|Diagnosis of idiopathic PD as confirmed by a movement disorder specialist|Age of onset of motor symptoms between 50 - 75|Well-established response to dopaminergic agents and/or amantadine|Ability to complete questionnaires|Ability to provide informed consent|Willingness to go off parkinsonian medication for 12 hours prior to ""off"" assessment|Medical record includes a brain MRI taken within the past 12 months showing no evidence of a tumor or abscess||Exclusion Criteria:||Symptomatic (secondary) parkinsonism (ie. drug induced)|Atypical parkinsonian variants|History of cancer (except basal or squamous cell skin cancer) within 5 years|Known liver disease|Hematological disorders|History of stereotactic or ablative brain surgery|Treatment with an investigational drug or device within the last 30 days|Pregnancy|Inability to comply with or tolerate study procedures|Conditions precluding the safe performance of lumbar puncture (LP): use of anticoagulants and hematologic abnormalities (INR>1.3;platelet count <80,000)||MSA Subjects:||Inclusion Criteria:||Age 50-75|Age of onset of motor symptoms between 50-75|Diagnosis of probable or possible MSA as confirmed by a movement disorders specialist|Ability to complete questionnaires|Ability to provide informed consent|Willingness to go off parkinsonian medications for 12 hours prior to ""off"" assessment|Medical record indicates a brain MRI taken within the past 12 months showing no evidence of a tumor or abscess||Exclusion Criteria||Symptomatic (secondary) parkinsonism (ie. drug induced)|History of cancer (except basal or squamous cell skin cancer) within 5 years|Known liver disease|Hematological disorders|History of stereotactic or ablative brain surgery|Treatment with an investigational drug or device within the last 30 days|Pregnancy|Inability to comply with or tolerate study procedures|Conditions precluding the safe performance of lumbar puncture (LP): use of anticoagulants and hematologic abnormalities (INR>1.3;platelet count <80,000)||For RBD Subjects:||Inclusion Criteria:||Age 50-75|Diagnosis of RBD using current consensus criteria|Ability to provide informed consent|Ability to complete questionnaires|Medical record indicates a brain MRI taken within the past 12 months showing no evidence of a tumor or abscess||Exclusion Criteria||Signs for symptoms suggestive of parkinsonian disorder|History of cancer (except basal or squamous cell skin cancer) within 5 years|Known liver disease|Hematological disorders|History of stereotactic or ablative brain surgery|Treatment with an investigational drug or device within the last 30 days|Pregnancy|Inability to comply with or tolerate study procedures|Conditions precluding the safe performance of lumbar puncture (LP): use of anticoagulants and hematologic abnormalities (INR>1.3;platelet count <80,000)||For NPH:||Inclusion Criteria:||Age 50-75|Scheduled to undergo an LP to evaluate diagnosis of NPH at Stony Brook Neurological Associates|Ability to complete questionnaires|Ability to provide informed consent||Exclusion Criteria:||History of cancer (except basal or squamous cell skin cancer) within 5 years|Known liver disease|Hematological disorders|History of stereotactic or ablative brain surgery|Treatment with an investigational drug or device within the last 30 days|Pregnancy|Inability to comply with or tolerate study procedures|Conditions precluding the safe performance of lumbar puncture (LP): use of anticoagulants and hematologic abnormalities (INR>1.3;platelet count <80,000)||For Controls:||Inclusion Criteria:||Age 50-75|Scheduled to undergo an LP at Stony Brook Neurological Associates|Ability to complete questionnaires|Ability to provide informed consent||Exclusion Criteria:||Signs or symptoms suggestive of parkinsonian disorder|History of rapid eye movement (REM) Sleep Behavior Disorder (RBD)|History of cancer (except basal or squamous cell skin cancer) within 5 years|Known liver disease|Hematological disorders|History of stereotactic or ablative brain surgery|Treatment with an investigational drug or device within the last 30 days|Pregnancy|Inability to comply with or tolerate study procedures|Conditions precluding the safe performance of lumbar puncture (LP): use of anticoagulants and hematologic abnormalities (INR>1.3;platelet count <80,000)","Subjects with PD, MSA, RBD, NPH and controls",Accepts Healthy Volunteers,,Stony Brook,New York,Stony Brook University Medical Center
2,NCT01380899,Parkinson Disease|Parkinsonian Disorders,Usefulness of α-synuclein as a Marker for Early Diagnosis of Parkinson's Disease in Skin Biopsy.,Usefulness of α-synuclein as a Marker for Early Diagnosis of Parkinson's Disease in Skin Biopsy.,,Observational,Procedure,Biopsy of skin,,"Under local anesthesia with 1% xylocaine, 4-mm punch biopsies with 3-mm depth, including the dermis and subcutaneous fat tissue, will undergone from two regions, neck and lower back.",,"June 17, 2011","May 1, 2021",October 2014,Completed,"Parkinson's disease (PD) is a degenerative disease that can be difficult to diagnose. The clinicopathological studies had demonstrated a 76% accuracy in the clinical diagnosis of PD.||At the beginning of PD is difficult for the clinician to distinguish from Parkinsonism Plus Syndromes (PPS) due to the similarity of symptoms and the lack of specific diagnostic tests.||Specific biomarkers to help improve the accuracy of diagnosis and to separate these two entities are highly needed||The histological hallmark for definite diagnosis of PD is the presence of fibrillar aggregates of phosphorylated alpha-synuclein called Lewy bodies (LBs) and Lewy neurites. Previous autopsy-based studies have revealed that alpha-synuclein is deposited in the peripheral autonomic nervous system including the enteric nervous system of the alimentary tract, cardiac plexus, adrenal medulla and skin.||For this reason, in patients with parkinsonism, an alternative tool could be to demonstrate alpha-synuclein fibrillar aggregates in the skin, allowing early and appropriate diagnosis.",No,No,2,No,,"The presence in the brain of a-synuclein containing Lewy neurites, or bodies, is the histological hallmark of Parkinson's disease (PD).||The discovery of alpha-synuclein aggregates in nerve endings of the heart, digestive tract, and skin has lent support to the concept of PD as a systemic disease.||First, our goal was to demonstrate the presence of alpha-synuclein inclusions in the skin of PD patients.||Second, to detect quantitative differences (measures in the percentage of presence in the skin´s cells) between patients with PD, atypical parkinsonism (AP), compared with an apparent healthy group.",An average of seven days.,,,,,Inclusion Criteria:||Clinical diagnosis of Parkinson's Disease or Parkinson Plus Syndrome|Subject is a male or female between the age of 50 and 95|Subject will write the informed consent||Exclusion Criteria:||History of stroke or/and trauma|Signs of cerebrovascular pathology|Brain tumor|Severe unrelated neurological or physical disease,The patients will be selected from the department of neurology and the office of the principal investigator.,Accepts Healthy Volunteers,16148287|9923759|1564476|17390256|28936161|25356418|27042679|30363411|30445232,San Luis Potosi,,Hospital Central Dr. Ignacio Morones Prieto
3,NCT03156647,Parkinson Disease|Parkinsonian Disorders,Alpha-synuclein Level in the Saliva as a Potential Diagnostic Aid to Differentiate Between Idiopathic Parkinson Disease and Iatrogenic Parkinsonian Syndrome,Alpha-synuclein Level in Saliva to Differentiate Between Idiopathic Parkinson Disease and Iatrogenic Parkinsonian Syndrome,PARKSYN,Observational,Diagnostic Test,Level of alpha-synuclein,,Test of levels of total and ratio total:oligomeric in saliva,,"May 15, 2017","July 23, 2021","July 16, 2020",Completed,The aim of this study is to determine whether a significant reduction in the total level of alpha-synuclein and significant increase in the oligomeric form of alpha-synuclein and therefore the ratio oligomeric:total alpha-synuclein occurs in patients with Parkinson disease compared to patients with drug-induced parkinsonian syndrome.,No,No,3,No,,,Day 0,saliva samples|symmetrical or asymmetrical|PD-NMS|BREF+MOCO score,Day 0|Day 0|Day 0|Day 0|Day 0|Day 0|Day 0|Day 0|Day 0|Day 0|Day 0|Day 0,,,"Inclusion Criteria||The patient must have given their free and informed consent and signed the consent form|The patient must be insured or the beneficiary of an insurance policy|The patient is less than 55 years old||For patients with acquired parkinsonian syndrome (UKPDSBB criteria) currently at HOEHN and YAHR stage ≤3:||For patients recruited via a psychiatrist: after anti-dopamine treatment|For patients recruited via a neurologist: having a recent diagnosis (≤2 years) of Parkinson disease||Exclusion Criteria:||The subject is participating in another study|The subject is in an exclusion period determined by a previous study|The patients is under judicial protection|The subject or their representative refused to sign the consent form|It proves impossible to give the subject or their representative clear information.|Patients with atypical degenerative parkinsonian syndrome|Patients with vascular, post-traumatic, metabolic, toxic or genetic parkinsonian syndrome|Appearance of parkinsonian syndrome prior to treatment with anti-dopamine|Injection of botulinum toxin into the salivary glands|Contra-indication on DAT-scan (unbalanced dysthyroidism, allergy, treatment with bupropion or amphetaminergics)|Poor oral health (polyposis, gingivostomatitis) observed during the odontologist visit|Patients not taking anti-psychotics with parkinsonian syndrome and normal DAT-scan",Subjects will be recruited from three centres:||Patients hospitalized in the Quissac psychiatric unit Patients followed in the CHU Nimes neurological department for idiopathic Parkinson Patients followed in the CHU Montpellier neurological department,,,Montpellier|Montpellier|Nîmes,,Hôpital Gui de Chauliac|Hôpital St Eloi|CHU Nimes
4,NCT04732741,Oral Cancer|Oral Lichen Planus|Oral Leukoplakia|Premalignant Lesion,Diagnostic Accuracy of Salivary Gamma-synuclein in Oral Malignant and Premalignant Lesions,Diagnostic Accuracy of Salivary Gamma-synuclein in Oral Malignant and Premalignant Lesions,,Observational,Diagnostic Test|Diagnostic Test|Diagnostic Test,Salivary Gamma-synuclein|Incisional biopsy|Conventional visual and tactile examination,,Gamma-synuclein salivary levels measured using ELISA assay|A) Biopsy (reference standard): biopsy for group 1 will be performed by specialists in the national cancer institute.||B) Biopsy for oral potentially malignant lesions will be performed by the candidate from the most representative region.|Conventional visual and tactile examination using light and mirror,,"January 27, 2021","January 27, 2021","December 10, 2021",Not yet recruiting,"Synucleins are a family of small, highly conserved proteins found in vertebrates and are specially abundant in neurons particularly in presynaptic terminals (Surguchov et al., 2001). Gamma-synuclein is the third member of the synuclein family, and is predominantly found in the cytosol of tumor cells and functions both intra- and extra-cellularly. It is involved in the pathogenesis of different types of cancer and some neurodegenerative diseases (Liu et al., 2018). Smoking - a major risk factor for oral cancer and its progression - and nicotine-containing products were found to time-dependently up-regulate the Gamma-synuclein expression in cancer cells (Hsu et al., 2020a).||Gamma-synuclein is released from tumor cells and was found to be elevated in tumors such as urinary bladder cancer (Liu et al., 2016), colorectal cancer, gastric adenocarcinomas and esophageal cancer (Liu et al., 2012). It is present in blood, serum, cerebrospinal fluid and saliva. The detection of extracellular synucleins in body fluids can reveal the first steps of the disease thus it can be used as a potential tool for early cancer detection (Surguchov, 2016).||This study aims to identify the diagnostic accuracy of Gamma-synuclein in differentiating between oral malignant lesions and oral premalignant lesions.",No,No,4,No,,Measured using ELISA reader,At same time as biopsy,,,,,Inclusion Criteria:||Group 1: patients with malignant lesions will be diagnosed through clinical and histopathological examination of tissue biopsy.||Group 2: patients with oral potentially malignant lesions will be diagnosed clinically and histopathological examination of tissue biopsy.||Group 3: healthy individuals who will be examined clinically through conventional visual and tactile examination to ensure no oral lesions are present and through thorough medical history||Exclusion Criteria:||-,Group 1: patients with malignant lesions will be diagnosed through clinical and histopathological examination of tissue biopsy.||Group 2: patients with oral potentially malignant lesions will be diagnosed clinically and histopathological examination of tissue biopsy.||Group 3: healthy individuals who will be examined clinically through conventional visual and tactile examination to ensure no oral lesions are present and through thorough medical history,No,,,,
5,NCT05067192,Parkinson Disease|Dementia With Lewy Bodies|Multiple System Atrophy|Corticobasal Degeneration|Progressive Supranuclear Palsy,Optimization of Morphomer-based Alpha-synuclein PET Tracers,Optimization of Morphomer-based Alpha-synuclein PET Tracers,,Observational,,,,,,"September 23, 2021","September 23, 2021","September 1, 2021",Completed,"The aim of the project is to develop the first alpha-synuclein (a-syn)-specific PET tracer. The research phase will exploit ACI's proprietary MorphomerTM library and extensively optimized screening workflow.||Promising PET-tracer candidates will be tested for their ability in detecting a-syn pathology in patients with a range of Parkinsonian conditions with different a-syn levels and distributions, comprising hereditary forms of PD and other synucleinopathies.",No,No,5,No,,Assess the ability of alpha-synuclein tau tracer [18F]-ACI3847 in detecting tau pathology in synucleinopathies.,July 2020 - August 2022,,,,,"Inclusion Criteria:||Age 50-100 years.|Fulfill the criteria for PD, DLB, MSA, PSP or CBS. Alongside with these participants patients with duplications in the gene coding for a-synuclein will be included.|Absence of cognitive symptoms or parkinsonism as assessed by a physician with special interest in cognitive disorders (Healthy controls).|Speaks and understands Swedish to the extent that an interpreter was not necessary for the patient to fully understand the study information and cognitive tests.||Exclusion Criteria:||Significant unstable systemic illness or organ failure, such as terminal cancer, that makes it difficult to participate in the study.|Current significant alcohol or substance misuse.|Refusing MRI or PET.","Patients with synucleinopathies (PD, DLB and MSA), patients with other Parkinson Plus disorders (CBS, PSP) and controls.",Accepts Healthy Volunteers,,Lund,Skåne,"Skåne University Hospital, Dept of Neurology"
6,NCT01485549,Multiple System Atrophy (MSA),Oligomeric Alpha-synuclein Levels as a Biomarker for Multiple System Atrophy,Oligomeric Alpha-synuclein in Multiple System Atrophy,BIOAMS,Observational,,,,,,"November 29, 2011","June 26, 2019","November 21, 2018",Completed,The main objectives are to determine on one hand whether oligomeric alpha-synuclein levels are increased in MSA patients compared to controls and on other hand whether there is a good agreement between cerebrospinal fluid (CSF) and plasma levels.,,,6,,,,Day 0,,Day 0|Day 0|Day 0,,,"MSA patients||o Inclusion criteria: Patients suffering from ""probable"" MSA according to clinical consensus criteria (Gilman et al, 2008), Age >30 Written informed consent Patient covered by the national health system||o exclusion criteria: UMSARS IV score > 4 points Patient under tutelage Patient unable to give consent Patients receiving anticoagulants, showing abnormal coagulation on blood testing or thrombocytopenia are excluded from this study||Controls (patients requiring spinal tap without suffering from a neurodegenerative disorder) o Inclusion criteria: Patients not suffering from a neurodegenerative disorder and requiring a spinal tap Age >30 Written informed consent Patient covered by the national health system o exclusion criteria: Similar to MSA patients",Cases will be selected from cohort of 90 MSA patients referenced in Bordeaux University Hospital.||Controls will be selected from patients requiring spinal tap without being affected by a neurodegenerative disorder and paired in age and gender with cases.,No,,Pessac,,Bordeaux University Hospital
7,NCT05401773,COVID-19,α-synuclein Seeding Activity in the Olfactory Mucosa in COVID-19 - A Pilot Study,α-synuclein Seeding Activity in the Olfactory Mucosa in COVID-19,,Interventional,Other,Real-time Quaking-Induced Conversion (RT-QuIC),,"RT-QuIC is increasingly used as diagnostic tools in synucleinopathies and has shown high sensitivity and specificity for the detection of α-synuclein seeds in CSF and tissue samples, including the olfactory mucosa in different patients' cohorts including Parkinson's patientients, patients with REM sleep behavior disorder (RBD), and patients with dementia with Lewy bodies.",Not Applicable,"June 1, 2022","June 1, 2022","December 31, 2023",Recruiting,Loss of the sense of smell is a characteristic feature of COVID-19 and likely related to viral invasion of the olfactory mucosa but is also a prodromal feature of PD. This constellation has kindled concerns that COVID-19 - similar to the Spanish Flu Pandemic in 1918 - might trigger a second wave of post-infectious parkinsonism. The main objective of the study is to probe for the presence of pathological α-synuclein assemblies in the olfactory mucosa of patients with COVID-19.,No,No,7,No,,,1 year,,,,,Inclusion Criteria:||Participants must be 18 years or older;|Participants are able to understand the aim of the study and the planned procedures;|Written informed consent form;||Participants fulfilling the criteria for one of the following groups:||COVID-19 patients with OD:||Prior history of COVID-19 (clinical documentation plus corresponding positive PCR test) at least 3 months ago;|OD (Sniffin' sticks discrimination and identification both <13/16 items correct) persisting for at least 3 months after SARS-CoV-2 infection;|Negative antigen test on day of study inclusion;|No evidence of structural nasal pathologies possibly responsible for OD.||COVID-19 patients without OD:||Prior history of COVID-19 (clinical documentation plus corresponding positive PCR test) at least 3 months ago;|No history of/current OD (Sniffin' sticks discrimination and identification both >12/16 items correct);|Negative antigen test on day of study inclusion.||Healthy Controls:||No history of COVID-19 and negative SARS-CoV-2 antibody test unless subject is vaccinated;|Negative antigen test on day of study inclusion;|No history of OD;|Subjective and objective normal olfactory function (Sniffin' sticks discrimination and identification both >12/16 items correct). 10 Application for Clinical Research||Patients with Parkinson's disease (n = 50):||Confirmed diagnosis of PD according to diagnostic criteria.|No history of COVID-19 and negative SARS-CoV-2 antibody test unless subject is vaccinated;|Negative antigen test on day of study inclusion;||Exclusion Criteria:||Patients:||History of OD prior to SARS-CoV-2 infection;|Pre-existent relevant neurological disorder;|Positive SARS-CoV-2 antigen test on day of study inclusion;|Patients with OD only: structural pathology possibly responsible for OD.||Healthy controls:||Pre-existent relevant neurological disorder;|History of/presence of olfactory dysfunction (Sniffin' sticks discrimination and identification both <13/16 items correct);|Positive SARS-CoV-2 antigen test on day of study inclusion;|Positive SARS-CoV-2 antibody test unless subject is vaccinated.||Patients with Parkinson's disease:||History of COVID-19;|Positive SARS-CoV-2 antigen test on day of study inclusion;|Positive SARS-CoV-2 antibody test unless subject is vaccinated.,,Accepts Healthy Volunteers,,Innsbruck,,Medical University of Innsbruck
8,NCT04266457,"Sleep Disorder Rem Sleep Behavior|Parkinson's Disease, Lewy Body",Establishing Alpha-synuclein Real Time - Quaking Induced Conversion (RT-QuIC) Assay as a Diagnostic Technique in Rapid Eye Movement (REM) Sleep Behaviour Disorder (RBD),Establishing Alpha-synuclein RT-QuIC Assay as a Diagnostic Technique in REM Sleep Behaviour Disorder,,Observational,Other,No Intervention,,No Intervention,,"February 10, 2020","May 17, 2021","September 1, 2022",Suspended,We hypothesise that a real-time quaking induced conversion assay for the detection of pathological alpha-synuclein (α -syn RTQuIC) can be used to differentiate between cases of idiopathic REM-sleep behaviour disorder (RBD) and RBD that is symptomatic of prodromal α-synucleinopathies.,No,No,8,No,,The primary outcome measure will be either a positive/negative (binary) result from the α-syn RT-QuIC assay. A positive output confirms presence of pathological α-synuclein within the CSF.,0-24 months after sample taken,,,,,Inclusion Criteria:||Patients diagnosed with Rapid Eye Movement Behaviour Disorder (RBD) using the International Classification of Sleep Disorders version 3 (ICSD-3) criteria [18] - Patients aged 18 years and over - Patient able to give written informed consent||Exclusion Criteria:||RBD secondary to medication or withdrawal state. - <18 years old - Inability to give written informed consent - Contraindication to lumbar puncture procedure (e.g. patients taking Warfarin),Patients diagnosed with REM Sleep Behavioural Disorder using ICSD-3 criteria,No,25681454|23562390|23474058|23347909|23890957|12498954|19968708|28472425|22166445|26924014|26617280|16507759|20648655|21865317|28180961|27752516|19945912|1798888|6059863|19025984|22505857|20977677|20961626|24121116,Edinburgh,Lothian,The University of Edinburgh
9,NCT04700722,Parkinson Disease|Multiple System Atrophy|Dementia With Lewy Bodies|Pure Autonomic Failure,Cutaneous Phosphorlyated α-synuclein Detection as a Biomarker of Synucleinopathy,Synuclein-One Study,,Observational,Diagnostic Test,Skin Biopsy,,"Test accuracy and precision of skin biopsy detection of phosphorylated α-synuclein, define sensitivity and specificity of skin biopsy detection of phosphorylated α-synuclein deposition for the diagnosis of synucleinopathies and to differentiate between the synucleinopathies by quantitative measurement of phosphorylated α-synuclein with skin biopsies.",,"January 6, 2021","February 15, 2022",December 2022,Recruiting,"The Synuclein-One Study will be evaluating α-synuclein in patients with Parkinson's disease, Multiple System Atrophy, Dementia with Lewy bodies and Pure Autonomic Failure. Using a simple diagnostic test will improve clinical accuracy in diagnosing, earlier diagnosis, and distinguish between neurodegenerative diseases.",No,No,9,No,,To define test accuracy and precision of skin biopsy detection of phosphorylated α-synuclein.|To define sensitivity and specificity of skin biopsy detection of phosphorylated α-synuclein.|To differentiate between the synucleinopathies by quantitative measurement of phosphorylated α-synuclein with skin biopsies.,2 years|2 years|2 years,,,,,"Inclusion Criteria:||Male and female between 40-99 years of age|Prior clinical diagnosis of Parkinson's disease, Multiple System Atrophy, Dementia with Lewy bodies or Pure Autonomic Failure|Health Subjects, no history of clinical or symptoms suggestive with synucleinopathy||Exclusion Criteria:||Clinical evidence of severe vascular disease (history of ulceration, poor wound healing, vascular claudication)|Clinically active coronary artery or cerebrovascular disease|Current smoker or alcoholism|History of allergic reaction to local anesthesia for skin biopsies|Use of blood thinners (aspirin or Plavix alone is allowed)|Significantly impaired wound healing or history of scarring or keloid formation|Healthy individuals or individuals with synucleinopathy is disease may be explained by other causes: recent history of encephalitis, Cortical dementia of Alzheimer's type, Whipple's disease, toxin exposure, repeated head injury and stepwise disease progression suggestive of vascular etiology","Eligible men and women, age 40-99 years, will undergo a screening evaluation that includes a thorough medical history, physical and neurologic exam, orthostatic vitals, questionnaires and skin biopsy completed in one visit.",,35272481,Chandler|Phoenix|Scottsdale|Carlsbad|Santa Monica|Englewood|Aventura|Boca Raton|Gainesville|Port Charlotte|Evanston|Boston|Boston|Rochester|New York|Patchogue|Durham|Portland|Nashville|Dallas|Georgetown|Kirkland|Seattle,Arizona|Arizona|Arizona|California|California|Colorado|Florida|Florida|Florida|Florida|Illinois|Massachusetts|Massachusetts|Minnesota|New York|New York|North Carolina|Oregon|Tennessee|Texas|Texas|Washington|Washington,"MD First Research|CND Life Sciences|Movement Disorders Center of Arizona|The Neuro Center|Providence St. John's Health|Rocky Mountain Movement Disorders Center, PC|Aventura Neurology|Parkinson's Disease and Movement Disorders Center of Boca Raton|UF College of Medicine|Parkinson's Disease Treatment Center SWFL|NorthShore University Health System|Boston Medical Center|Beth Israel Lahey Health|Mayo Clinic|NYU Medical Center|SouthShore Neurologic|Duke University Medical Center|Providence Brain & Spine Institute|Vanderbilt University Medical Center|UTSouthwestern|Texas Movement Disorders Specialists|Evergreen Health|Swedish Neuroscience Research"
10,NCT03170063,Parkinson Disease,FoxBioNet Pilot Project: SAVE (Synuclein Assay Validation Effort) (SAVE001),FoxBioNet Pilot Project: SAVE (Synuclein Assay Validation Effort),SAVE001,Observational,Procedure,Procedure/Surgery: Biofluid samplings,,Biofluid samplings (blood and cerebrospinal fluid (CSF)),,"May 26, 2017","August 17, 2018","March 12, 2018",Completed,The overall objective of this study is to compare the performance of available oligomeric and phosphorylated a-synuclein assay in cerebrospinal fluid and blood.,,,10,,,"CSF, serum, and plasma will be analyzed using oligomeric and pS129 assays. The outcome will be expressed as a concentration of modified (pS129 or oligomeric) synuclein or as a ratio of specific species to total synuclein levels.",3 Months,To assess time taken from submission of proposal to IRB to approval by the IRB|To assess time taken from approval by IRB to approval by internal boards for sites.|To assess the ability of the network of pilot sites to efficiently conduct a study involving biosample collection for PD research. Efficiency will be assessed using measures of the time taken to meet specific milestones within the study.|Time taken from site activation to recruitment of 10 participants|To assess the ability of the network to collect high quality biospecimens adhering to agreed-upon protocols.|To gauge the willingness of participants to participate in subsequent Fox BioNet studies,3 Months|3 Months|3 Months|3 Months|3 Months|3 Months,,,"Inclusion Criteria:||Parkinson's Disease Subjects||Patients must meet the MDS criteria for Parkinson's disease.|Disease duration: any|Male or female age 30 years or older at time of PD diagnosis.||Control Subjects||Male or female age 30 years or older at Screening.||Exclusion Criteria:||Parkinson's Disease Subjects||Inability to provide informed consent|Current treatment with anticoagulants (e.g., coumadin, heparin) that might preclude safe completion of the lumbar puncture.|Condition that precludes the safe performance of routine lumbar puncture, such as prohibitive lumbar spinal disease, bleeding diathesis, or clinically significant coagulopathy or thrombocytopenia.|Participation in a blinded clinical trial of any kind or an unblinded trial of an investigational product that is not currently approved for use in humans.||Control Subjects||Inability to provide informed consent|Current treatment with anticoagulants (e.g. coumadin, heparin) that might preclude safe completion of the lumbar puncture.|Condition that precludes the safe performance of routine lumbar puncture, such as prohibitive lumbar spinal disease, bleeding diathesis, or clinically significant coagulopathy or thrombocytopenia.|Participation in a blinded clinical trial of any kind or an unblinded trial of an investigational product that is not currently approved for use in humans.|The presence of rest tremor, bradykinesia or rigidity.|The presence of any other neurological sign that in the opinion of the site investigator raises suspicion for an atypical parkinsonian syndrome (e.g. supranuclear gaze palsy)","30 Parkinson's Disease Subjects, and 20 Healthy Controls. Potential participants will be identified by the study sites through their patient population or through Fox Trial Finder.",Accepts Healthy Volunteers,,Chicago|Boston|Portland|Philadelphia|Houston,Illinois|Massachusetts|Oregon|Pennsylvania|Texas,Rush University Medical Center|Beth Israel Deaconess Medical Center|Oregon Health and Sciences University|University of Pennsylvania|Baylor College of Medicine
